question,choices,answerKey
A glacier is a slow moving river of ice. How does a glacier help create soil?,"{'text': ['It scrapes small particles off large rocks.', 'It carries plants down mountains and to oceans.', 'It melts and becomes part of streams and rivers.', 'It freezes small particles of dirt to form large rocks.'], 'label': ['A', 'B', 'C', 'D']}",A
"During winter months, Amina sometimes notices ice covering the hoods of parked cars. Once the engine of the car runs for a while, the ice on the hood begins to melt. What form of energy is released from the car engine to melt the ice?","{'text': ['chemical', 'electrical', 'heat', 'light'], 'label': ['A', 'B', 'C', 'D']}",C
"A student notices dogs have more fleas in the summer than in the winter. Based on these observations, which is the most logical question for the student to investigate?","{'text': ['How does wind affect the amount of fleas on dogs?', 'How does diet affect the amount of fleas on dogs?', 'How does rain affect the amount of fleas on dogs?', 'How does temperature affect the amount of fleas on dogs?'], 'label': ['A', 'B', 'C', 'D']}",D
"According to the periodic table, all of the following are metals except","{'text': ['sodium', 'zinc', 'fluorine', 'calcium'], 'label': ['A', 'B', 'C', 'D']}",C
"A squid is an animal that lives in the ocean. It pumps a stream of water out of its body, causing it to move rapidly. Which of the following mechanical systems moves in a way most similar to the squid?","{'text': ['a bus', 'a helicopter', 'a rocket', 'a train'], 'label': ['A', 'B', 'C', 'D']}",C
"When the wax from a candle drips, the wax has reached","{'text': ['its boiling point.', 'its melting point.', 'a chemical change.', 'a physical change.'], 'label': ['A', 'B', 'C', 'D']}",B
"In the morning, students observed puddles of water all over the playground. What would best explain why the playground was dry in the afternoon?","{'text': ['Animals drank the water.', 'The wind stopped blowing.', 'Someone dried the puddles.', 'The water evaporated during the day.'], 'label': ['A', 'B', 'C', 'D']}",D
Many areas of Massachusetts have small deep ponds called kettle ponds. Which of the following best explains the formation of these ponds?,"{'text': ['avalanche', 'wind erosion', 'glacial depression', 'sediment deposition'], 'label': ['A', 'B', 'C', 'D']}",C
What relationship exists between a dog and its fleas?,"{'text': ['commensalism', 'gradualism', 'mutualism', 'parasitism'], 'label': ['A', 'B', 'C', 'D']}",D
Which of the following could limit the supply of a renewable resource?,"{'text': ['recycling aluminum cans', 'cutting down trees in forests', 'mining minerals such as gold', 'conserving freshwater resources'], 'label': ['A', 'B', 'C', 'D']}",B
Which statement best describes the energy transformations that occur when a candle burns?,"{'text': ['Heat energy from the wax is converted into chemical and light energy.', 'Heat energy from the air is converted into mechanical and light energy.', 'Chemical energy from the wax is converted into light and heat energy.', 'Chemical energy from the air is converted into mechanical and light energy.'], 'label': ['A', 'B', 'C', 'D']}",C
"Pesticides and fertilizers can help farmers to produce more crops. However, overuse of these chemicals can result in","{'text': ['ecological succession', 'material recycling', 'environmental pollution', 'selective breeding'], 'label': ['1', '2', '3', '4']}",3
What type of energy travels through the body of a microscope that allows the specimen to be seen by a student?,"{'text': ['heat', 'solar', 'light', 'electrical'], 'label': ['A', 'B', 'C', 'D']}",C
A powder made up of both white specks and black specks is likely to be,"{'text': ['a solution', 'a pure compound', 'a mixture', 'an element'], 'label': ['A', 'B', 'C', 'D']}",C
"In the past, wild hogs called ""javelinas"" were seen only in the southern part of New Mexico. Now, javelinas are seen in areas 100 miles further north. What is the most likely cause of this expansion?","{'text': ['Javelinas are reproducing less frequently.', 'Environmental conditions have changed.', ""The javelina's genetic traits have mutated."", 'Nutritional requirements of javelinas have changed.'], 'label': ['A', 'B', 'C', 'D']}",B
Which is the best example of a pure substance?,"{'text': ['peanuts', 'milk', 'gold', 'air'], 'label': ['A', 'B', 'C', 'D']}",C
Which tool would best help a person observe the parts of a plant cell?,"{'text': ['hand lens', 'telescope', 'binoculars', 'microscope'], 'label': ['A', 'B', 'C', 'D']}",D
The energy stored in the bonds of a glucose molecule during photosynthesis is in what form?,"{'text': ['chemical', 'electrical', 'kinetic', 'light'], 'label': ['A', 'B', 'C', 'D']}",A
What happens to water molecules during the boiling process?,"{'text': ['They move faster and move farther apart as they absorb heat.', 'They move faster and remain close together as they absorb heat.', 'They move more slowly but move farther apart as they lose heat.', 'They move faster and move farther apart as they lose heat.'], 'label': ['A', 'B', 'C', 'D']}",A
"Evidence suggests that there is a relationship between ancient dinosaurs and modern birds. Through time, each occurrence of a new trait most likely resulted from which of the following?","{'text': ['mutation of genes', 'hybridization of species', 'extinction of populations', 'alteration of the environment'], 'label': ['A', 'B', 'C', 'D']}",A
Which of the following can cause erosion?,"{'text': ['falling leaves', 'flowing water', 'growing grass', 'rising temperatures'], 'label': ['A', 'B', 'C', 'D']}",B
Living things are classified as producers or consumers according to,"{'text': ['their speed of movement', 'the size of their communities', 'how they obtain food', 'how they reproduce'], 'label': ['1', '2', '3', '4']}",3
"A hydrologist studies the location, movement, and quality of water. A hydrologist recognizes the importance that water exists as ___.","{'text': ['a solid, a liquid, and a gas (vapor)', 'a solid and a liquid', 'a solid and a gas (vapor)', 'a solid only'], 'label': ['A', 'B', 'C', 'D']}",A
Which of these can be recycled in an attempt to conserve resources?,"{'text': ['gasoline', 'sunlight', 'aluminum', 'natural gas'], 'label': ['A', 'B', 'C', 'D']}",C
This in turn causes the average temperature on Earth to rise. Which of the following observations supports that theory?,"{'text': ['The summer of 1998 was one of the hottest summer seasons on record.', 'Carbon dioxide gas from cars and industry is a product of burning that produces heat.', ""Carbon dioxide in the upper atmosphere absorbs and re-emits heat radiated from Earth's surface."", ""Radiation on Earth's surface is increasing because of a hole in the ozone layers.""], 'label': ['A', 'B', 'C', 'D']}",C
Which of these can be mined from Earth and used as an energy source?,"{'text': ['Coal', 'Gravel', 'Granite', 'Limestone'], 'label': ['A', 'B', 'C', 'D']}",A
Which tool is used to determine how long it takes warm water to melt an ice cube?,"{'text': ['a scale', 'a stopwatch', 'a calculator', 'a thermometer'], 'label': ['A', 'B', 'C', 'D']}",B
Two scientists doing the same experiment got different results. Which would be the best way to figure out which result might be correct?,"{'text': ['A group of scientists should argue about the results.', 'The two scientists should do different experiments.', 'More scientists should do the experiment.', 'A group of scientists should vote.'], 'label': ['A', 'B', 'C', 'D']}",C
A lipid bilayer allows certain molecules to pass through and blocks other molecules. Which structure is most often protected by a lipid bilayer?,"{'text': ['cell', 'organ', 'tissue', 'system'], 'label': ['A', 'B', 'C', 'D']}",A
Traits are transferred from generation to generation through the,"{'text': ['sperm only', 'egg only', 'sperm and the egg', 'testes'], 'label': ['A', 'B', 'C', 'D']}",C
Many scientists theorize that global warming will melt the polar ice caps. What would most likely happen if the polar ice caps melted?,"{'text': ['Ocean levels would increase.', 'Human population would increase.', 'Vegetation in water would decrease.', 'Global precipitation would decrease.'], 'label': ['A', 'B', 'C', 'D']}",A
Which of the following groups of organisms uses sunlight to convert carbon dioxide and water into sugar and oxygen?,"{'text': ['carnivores', 'decomposers', 'herbivores', 'producers'], 'label': ['A', 'B', 'C', 'D']}",D
What is the first step in designing a product?,"{'text': ['model a solution', 'communicate the solution', 'identify the need or want', 'build a prototype'], 'label': ['A', 'B', 'C', 'D']}",C
Solids that are combined together and maintain their physical properties are best labeled as a,"{'text': ['solute.', 'mixture.', 'solvent.', 'compound.'], 'label': ['A', 'B', 'C', 'D']}",B
"A group of vertebrates has lungs, a body covered with scales, internal fertilization, and amniotic eggs. Which group of vertebrates does this describe?","{'text': ['amphibians', 'birds', 'mammals', 'reptiles'], 'label': ['A', 'B', 'C', 'D']}",D
"The brain, spinal cord, and nerves are organs that perform which primary function?","{'text': ['supporting the body and enabling it to move', 'transporting oxygen, wastes, and nutrients throughout the body', 'producing male and female gametes', 'conducting messages to coordinate body functions'], 'label': ['A', 'B', 'C', 'D']}",D
Mammals must eliminate waste products that their bodies produce. Which organ helps mammals eliminate bodily waste?,"{'text': ['appendix', 'kidney', 'pancreas', 'stomach'], 'label': ['A', 'B', 'C', 'D']}",B
A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot?,"{'text': ['combustion', 'convection', 'radiation', 'conduction'], 'label': ['A', 'B', 'C', 'D']}",D
"In making a pizza, which process involves a chemical change?","{'text': ['mixing spices for the sauce', 'slicing pepperoni for the topping', 'spreading cheese on the pizza', 'baking the dough to form the crust'], 'label': ['A', 'B', 'C', 'D']}",D
"Base your answers on the information below. One hot, summer day it rained very heavily. After the rain, a plastic pan on a picnic table had 2 cm of rainwater in it. Four hours later, all the rainwater in the pan was gone. Which process caused the rainwater in the pan to disappear as it sat outside in the hot air?","{'text': ['condensation', 'evaporation', 'precipitation', 'erosion'], 'label': ['A', 'B', 'C', 'D']}",B
Which process must occur for clouds to form?,"{'text': ['erosion', 'conduction', 'condensation', 'precipitation'], 'label': ['1', '2', '3', '4']}",3
"In 1918, an outbreak of influenza infected 500,000 people all over the world. Tens of millions of those infected died. In 1994, an outbreak of pneumonic plague spread quickly through the city of Surat in India, killing 52 people. Which statement best describes the two events?","{'text': ['Both outbreaks were pandemics.', 'Both outbreaks were epidemics.', 'The influenza outbreak was a pandemic. The plague outbreak was an epidemic.', 'The influenza outbreak was an epidemic. The plague outbreak was a pandemic.'], 'label': ['A', 'B', 'C', 'D']}",C
"On the periodic table, the elements in group 18 (8A) (helium, neon, argon, etc.) are grouped together because","{'text': ['they are lighter than air.', 'they have full outer electron shells.', 'they have excess electrons to share.', 'they easily react with other elements.'], 'label': ['A', 'B', 'C', 'D']}",B
Which of the following is a consumer?,"{'text': ['grain', 'rabbit', 'vegetable', 'tree'], 'label': ['A', 'B', 'C', 'D']}",B
Which statement explains why light from the Sun can warm up water in a glass?,"{'text': ['Light travels very fast.', 'Light travels in straight lines.', 'Water reflects light energy.', 'Water absorbs light energy.'], 'label': ['A', 'B', 'C', 'D']}",D
Which characteristic is an example of learned behavior?,"{'text': ['a bear hibernating in the winter', 'a spider spinning a web in a tree', 'a butterfly migrating to the south', 'a dog scratching at a door to go out'], 'label': ['A', 'B', 'C', 'D']}",D
Which of these is a negative effect associated with some types of new technology?,"{'text': ['increased worker productivity', 'faster diagnosis of medical problems', 'less time required to find information', 'decreased physical activity'], 'label': ['A', 'B', 'C', 'D']}",D
What is the main source of energy for the water cycle?,"{'text': ['electricity', 'erosion', 'gravity', 'sunlight'], 'label': ['A', 'B', 'C', 'D']}",D
Sharpening a pencil and tearing paper are examples of physical changes. Which statement describes why these are physical changes?,"{'text': ['There is a change in how the objects are used.', 'There is a change in the appearance of the objects.', 'There is a change in the materials from which the objects are made.', 'There is a change in both the appearance of the objects and the materials from which they are made.'], 'label': ['A', 'B', 'C', 'D']}",B
"Air in the atmosphere is heated unevenly by the sun, causing","{'text': ['wind patterns.', 'cloud formation.', 'volcanic activity.', 'water condensation.'], 'label': ['A', 'B', 'C', 'D']}",A
Which sense is used to determine an object's texture?,"{'text': ['hearing', 'smell', 'taste', 'touch'], 'label': ['A', 'B', 'C', 'D']}",D
Which statement describes a method of sexual reproduction that occurs in plants?,"{'text': ['Stem cuttings are placed in water and grow roots.', 'Seeds are produced from the flower of the plant.', 'Underground stems from a plant grow into new plants.', 'A leaf falls to the soil, develops roots, and grows.'], 'label': ['1', '2', '3', '4']}",2
Campers shouted toward a canyon wall. What characteristic of sound best explains why the campers heard an echo?,"{'text': ['Sound waves traveled slowly down the canyon.', 'Sound waves were absorbed by the canyon wall.', 'Sound waves reflected off the canyon wall.', 'Sound waves were refracted around the canyon.'], 'label': ['A', 'B', 'C', 'D']}",C
A recent scientific study funded by a medical corporation concluded that its product is not as harmful as consumers have reported. Identify a possible problem with this study.,"{'text': ['Corporate scientists have less training than other scientists.', 'The results of the study may be influenced by bias.', 'Privately funded science is not verified by other scientists.', 'The study cannot be repeated with the same results.'], 'label': ['A', 'B', 'C', 'D']}",B
Nerve cells transmitting messages to the body best demonstrate which primary function?,"{'text': ['the transfer of energy', 'the exchange of gases', 'the elimination of waste', 'the absorption of nutrients'], 'label': ['A', 'B', 'C', 'D']}",A
A drinking water reservoir for a small town develops a blue-green algae bloom. The town hires a company to eliminate the problem. Which of the following should the company investigate first as a likely source of the problem?,"{'text': ['a pit where granite is ground up into gravel', 'a neighborhood where lawn chemicals are used', 'a junkyard where old cars are salvaged for parts', 'a grain elevator where corn and soybeans are stored'], 'label': ['A', 'B', 'C', 'D']}",B
What travels through the stem of a plant?,"{'text': ['water and food', 'food and nectar', 'nectar and soil', 'soil and water'], 'label': ['A', 'B', 'C', 'D']}",A
Which of these is an inherited behavior?,"{'text': ['a seal balancing a ball', 'a dog getting the newspaper', 'a spider spinning a web', 'an ape using sign language'], 'label': ['A', 'B', 'C', 'D']}",C
"In 1987, a supernova was detected in the Large Magellanic Cloud galaxy, which is approximately 169,000 light years from Earth. Which event produces a supernova?","{'text': ['the explosion of a massive star', 'the birth of a main-sequence star', 'the collapse of a medium-sized star', 'the collision of one star with another'], 'label': ['A', 'B', 'C', 'D']}",A
Extinction of a species is most likely to occur as a result of,"{'text': ['evolution', 'migration', 'selective breeding', 'environmental changes'], 'label': ['1', '2', '3', '4']}",4
"When water vapor rises and cools, the liquid water in the air comes together forming","{'text': ['wind.', 'clouds.', 'lightning.', 'tornadoes.'], 'label': ['A', 'B', 'C', 'D']}",B
Which of the following allows materials to enter and leave a cell?,"{'text': ['cell wall', 'mitochondria', 'vacuole', 'cell membrane'], 'label': ['A', 'B', 'C', 'D']}",D
"Sandy and Keith plan to move a 6-kilogram block. If they wanted to calculate the mechanical energy required to move the block, what units would they use to report their answer?","{'text': ['joules', 'kilowatts', 'kilometers', 'volts'], 'label': ['A', 'B', 'C', 'D']}",A
DNA stores the genetic instructions transferred from one generation to the next. What is DNA?,"{'text': ['a molecule', 'a membrane', 'a cell nucleus', 'a spiral-shaped cell'], 'label': ['A', 'B', 'C', 'D']}",A
Which list is correctly ordered from smallest to largest?,"{'text': ['Biosphere, organism, ecosystem, population', 'Community, organism, ecosystem, biosphere', 'Organism, population, community, ecosystem', 'Population, ecosystem, community, biosphere'], 'label': ['A', 'B', 'C', 'D']}",C
Which of the following has the greatest effect on the ability of soil to hold water?,"{'text': ['the age of the soil particles', 'the size of the soil particles', 'the color of the soil particles', 'the luster of the soil particles'], 'label': ['A', 'B', 'C', 'D']}",B
The Water Quality Act of 1987 required the development of standards that would prevent toxic pollutants from reaching dangerous levels in bodies of water. This act affected the amounts of toxic chemicals that could be discharged into bodies of water. Which of the following would have been most regulated by this act?,"{'text': ['feed lots', 'private homes', 'paper mills', 'grocery stores'], 'label': ['A', 'B', 'C', 'D']}",C
Which element is necessary for the formation of coal?,"{'text': ['crushed rocks', 'flowing water', 'dead animals', 'decaying vegetation'], 'label': ['A', 'B', 'C', 'D']}",D
Some ancient Greeks tried to discover the laws of the universe through thought and logic. Which part of the scientific process were these scientists missing?,"{'text': ['analysis', 'experiment', 'conclusion', 'observation'], 'label': ['A', 'B', 'C', 'D']}",B
Which best describes a characteristic of the jet stream?,"{'text': ['It forms a boundary between a cold air mass and a warm air mass.', 'It creates the high winds around the eye of a hurricane.', 'It forces the hot air along the equator to rise to areas in North America.', 'It causes high pressure air masses to rotate clockwise.'], 'label': ['A', 'B', 'C', 'D']}",A
"Single-celled organisms can reproduce and create cells exactly like themselves without combining genes from two different parent cells. When they do this, they use a type of","{'text': ['asexual reproduction.', 'gamete formation.', 'natural selection.', 'sexual reproduction.'], 'label': ['A', 'B', 'C', 'D']}",A
Most stars are similar to each other in,"{'text': ['brightness.', 'composition.', 'diameter.', 'temperature.'], 'label': ['A', 'B', 'C', 'D']}",B
Which BEST explains why green marine algae are most often restricted to the top 100 meters of the ocean?,"{'text': ['They have no roots to anchor them to the ocean floor.', 'They can live only where there is light.', 'The pressure is too great for them to survive below 100 meters.', 'If the algae lived below 100 meters they would be eaten by animals.'], 'label': ['A', 'B', 'C', 'D']}",B
Which of these locations in the solar system contains the most asteroids?,"{'text': ['the surface of the Sun', 'the ring system of Saturn', 'between Mars and Jupiter', 'between Mercury and Venus'], 'label': ['A', 'B', 'C', 'D']}",C
The body is able to detect pressure on its surface by which direct means?,"{'text': ['releasing of hormones in skin', 'changing in volume of fat and muscle cells', 'signaling by sensory neurons', 'changing of voltage in interneurons'], 'label': ['A', 'B', 'C', 'D']}",C
Which of these is an organism that is unicellular?,"{'text': ['virus', 'amoeba', 'mushroom', 'ant'], 'label': ['A', 'B', 'C', 'D']}",B
"Mark wants to make lemonade for his friends. He uses water, lemon juice, and sugar. Which of these best describes the lemonade?","{'text': ['a mixture', 'a metal', 'an element', 'a compound'], 'label': ['A', 'B', 'C', 'D']}",A
"Sandra puts some pill bugs into an open box. She covers half the box with a piece of cardboard. She then places the box outside on a summer day, and all the pill bugs move under the cardboard. The pill bugs are most likely responding to which of the following?","{'text': ['air pressure', 'bright light', 'wind', 'fog'], 'label': ['A', 'B', 'C', 'D']}",B
"During science class, students combined 1 kg of iron filings with 1 kg of sand to create a mixture. Which of the following methods would be best for separating the iron filings from the sand?","{'text': ['Stir the mixture into hot water to dissolve the sand.', 'Strain the mixture through a paper filter to collect the sand.', 'Drag a magnet through the mixture to attract the iron filings.', 'Shake the mixture to cause the iron filings to settle to the bottom.'], 'label': ['A', 'B', 'C', 'D']}",C
Which is the thickest layer of Earth?,"{'text': ['crust', 'inner core', 'mantle', 'outer core'], 'label': ['A', 'B', 'C', 'D']}",C
Wind can cause erosion that changes the surface of the Earth. Wind erosion can have negative effects on the environment by removing soil and polluting the air during dust storms. Which of the following land forms are created by wind erosion?,"{'text': ['arches and faults', 'sand dunes and arches', 'meanders and moraines', 'moraines and sand dunes'], 'label': ['A', 'B', 'C', 'D']}",B
Deer eat different types of plants in an ecosystem. Which method would best show the percentages of the plant types in the deer diet?,"{'text': ['pie chart', 'bar graph', 'line graph', 'scatterplot'], 'label': ['A', 'B', 'C', 'D']}",A
How does a human body get energy?,"{'text': ['Sunlight on the skin produces energy.', 'Water provides the majority of energy.', 'Food and oxygen combine to deliver energy.', 'Sleep provides energy stored at night for the next day.'], 'label': ['A', 'B', 'C', 'D']}",C
Some birds fly south before winter each year. This is an example of,"{'text': ['migration', 'hibernation', 'germination', 'evaporation'], 'label': ['A', 'B', 'C', 'D']}",A
"Which system supports the body, protects internal organs, and makes blood cells?","{'text': ['muscular system', 'circulatory system', 'nervous system', 'skeletal system'], 'label': ['A', 'B', 'C', 'D']}",D
The smallest particle of an element is,"{'text': ['an atom.', 'a mixture.', 'a molecule.', 'a compound.'], 'label': ['A', 'B', 'C', 'D']}",A
A student is writing a report on volcanoes. What should the student include to best help explain how a volcano works?,"{'text': ['a photograph of an active volcano', 'a map showing the location of a volcano', 'a table of famous volcanoes and last known eruptions', 'a diagram showing the structure of a volcano'], 'label': ['A', 'B', 'C', 'D']}",D
"Base your answer on the information below and on your knowledge of science. A baseball strikes the roof of a car and dents it. The paint on the roof begins to crack and chip, exposing the metal. The exposed metal on the roof rusts, eventually causing a small hole in the roof. Which event is a chemical change?","{'text': ['The baseball strikes the roof.', 'The roof of the car dents.', 'The paint cracks and chips.', 'The exposed metal rusts.'], 'label': ['1', '2', '3', '4']}",4
Which energy resource is renewable?,"{'text': ['fuel oil', 'natural gas', 'wind', 'coal'], 'label': ['1', '2', '3', '4']}",3
Which energy conversion process occurs whenever coal is burned?,"{'text': ['mechanical to electrical', 'mechanical to thermal', 'chemical to electrical', 'chemical to thermal'], 'label': ['A', 'B', 'C', 'D']}",D
Claudia's teacher places a photograph of an organism on the board. He asks Claudia to determine if the organism is a plant or an animal. The answer to which question will best help Claudia determine if the organism is a plant or an animal?,"{'text': ['Does the organism have cells?', 'Does the organism reproduce?', 'Does the organism live in the forest?', 'Does the organism make its own food?'], 'label': ['A', 'B', 'C', 'D']}",D
"Based on analysis of deep ice cores from the Arctic, scientists theorize that early humans caused air pollution. These scientists can make sure their data is correct by","{'text': ['analyzing only melted ice cores.', 'analyzing more than one ice core.', 'comparing their data to the expected results.', 'comparing their data to modern pollution levels.'], 'label': ['A', 'B', 'C', 'D']}",B
"When a volcano erupts, dust and ash are blown into the atmosphere. The eruption directly reduces the transfer of energy from","{'text': ['the ground to bacteria.', 'the Sun to plants.', 'plants to animals.', 'animals to air.'], 'label': ['A', 'B', 'C', 'D']}",B
Which change would most likely cause deer to die or leave a woodland?,"{'text': ['a forest fire', 'a rainstorm', 'a snow storm', 'a sinkhole'], 'label': ['A', 'B', 'C', 'D']}",A
A student observes a glowing band across the night sky. This glowing band is most likely,"{'text': ['orbiting planets in the solar system.', 'a partial view of the Milky Way galaxy.', 'an asteroid orbiting the Sun.', 'light from stars in a distant galaxy.'], 'label': ['A', 'B', 'C', 'D']}",B
What is the smallest unit of an element that still has the properties of that element?,"{'text': ['an atom', 'a compound', 'an electron', 'a molecule'], 'label': ['A', 'B', 'C', 'D']}",A
The longitude of a location determines which time zone it is in. Different time zones are the result of,"{'text': [""Earth's rotation"", ""Earth's revolution"", ""the Moon's rotation"", ""the Moon's revolution""], 'label': ['1', '2', '3', '4']}",1
"Which of these structures form when materials are deposited, buried, and cemented?","{'text': ['intrusive structures', 'metamorphic rocks', 'volcanic mountains', 'sedimentary rocks'], 'label': ['A', 'B', 'C', 'D']}",D
Earth is made of different layers that have varying characteristics. Which is the thickest layer?,"{'text': ['the mantle', 'the inner core', 'the outer core', 'the crust'], 'label': ['A', 'B', 'C', 'D']}",A
Which are examples of inherited traits?,"{'text': ['specific beliefs', 'fingerprints', 'memories', 'nose shape'], 'label': ['A', 'B', 'C', 'D']}",D
"An object has a weight of 10 kg on the surface of Earth. If the same object were transported to the surface of Mars, the object would have a weight of 3.8 kg. Which best explains why the weight of the object changed when transported from Earth to Mars?","{'text': ['The density of the object is greater on Earth than it is on Mars.', 'The volume of the object is greater on Earth than it is on Mars.', 'Gravitational force is greater on Earth than it is on Mars.', 'Atmospheric pressure is less on Earth than it is on Mars.'], 'label': ['A', 'B', 'C', 'D']}",C
Which characteristic can a puppy inherit from its parents?,"{'text': ['muddy paws', 'spotted fur', 'broken foot', 'scar on face'], 'label': ['A', 'B', 'C', 'D']}",B
"According to Darwin's theory of evolution, the variations among finches that he observed in the Galapagos Islands resulted from","{'text': ['transmission of acquired characteristics.', 'use or disuse of their beaks.', 'natural mutagens.', 'natural selection.'], 'label': ['A', 'B', 'C', 'D']}",D
"Jennifer has collected rocks while hiking. As she attempts to classify her rocks, which will she put in the pile of sedimentary rocks?","{'text': ['Black-and-gray crystalline rocks', 'Shiny rocks with smooth textures', 'Rocks with visible pieces of shells in them', 'Rocks with small interlocking crystals in them'], 'label': ['A', 'B', 'C', 'D']}",C
Which form of energy is found in food?,"{'text': ['chemical', 'electrical', 'sound', 'mechanical'], 'label': ['A', 'B', 'C', 'D']}",A
The Sun is a medium-sized star and is expected to continue to perform nuclear fusion for five billion years. What is most likely to be the final stage of the Sun?,"{'text': ['supernova', 'supergiant', 'neutron star', 'white dwarf'], 'label': ['A', 'B', 'C', 'D']}",D
Which statement is the best description of the Milky Way galaxy?,"{'text': ['a collection of gases held together by inertia', 'a group of planets revolving around a single star', 'a collection of stars and gases with the Sun as its center', 'a group of stars, dust, and planets held together by gravity'], 'label': ['A', 'B', 'C', 'D']}",D
"When specific hormones are present in the blood of a hen, an egg is released from an ovary. Which two systems are involved with the release of an egg?","{'text': ['immune and digestive systems', 'digestive and endocrine systems', 'reproductive and immune systems', 'endocrine and reproductive systems'], 'label': ['A', 'B', 'C', 'D']}",D
Fossil records indicate that Earth was first inhabited by bacteria-like organisms. These organisms,"{'text': ['were single-celled.', 'had organ systems.', 'were multi-cellular.', 'had small appendages.'], 'label': ['A', 'B', 'C', 'D']}",A
Onions can reproduce from bulbs. One parent bulb generates daughter bulbs with duplicate genetic information. Which is the most likely advantage of this kind of reproduction?,"{'text': ['Population size remains constant.', 'Beneficial mutations are inevitable.', 'Genetic variation is maximized.', 'Large quantities of individuals can be produced rapidly.'], 'label': ['A', 'B', 'C', 'D']}",D
Which action involving a pulley system requires the least amount of force?,"{'text': ['using several pulleys together instead of a single pulley', 'using a fixed pulley instead of a moveable pulley', 'pulling a long rope instead of a short rope', 'pulling a rope up instead of down'], 'label': ['A', 'B', 'C', 'D']}",A
In which environment would a white rabbit be best protected from predators?,"{'text': ['a shady forest', 'a snowy field', 'a grassy lawn', 'a muddy riverbank'], 'label': ['A', 'B', 'C', 'D']}",B
Which form of energy is needed to change water from a liquid to a gas?,"{'text': ['heat', 'mechanical', 'chemical', 'sound'], 'label': ['A', 'B', 'C', 'D']}",A
Which of these is a function of a leaf?,"{'text': ['Carrying nutrients throughout the plant', 'Converting solar energy into sugar', 'Creating shade for the plant', 'Absorbing water from the ground'], 'label': ['A', 'B', 'C', 'D']}",B
Which of these is most likely to be spread when two people drink from the same water bottle?,"{'text': ['asthma', 'malaria', 'strep throat', 'hay fever'], 'label': ['A', 'B', 'C', 'D']}",C
The sum of all chemical reactions in the human body is known as,"{'text': ['feedback', 'metabolism', 'dynamic equilibrium', 'biological adaptation'], 'label': ['1', '2', '3', '4']}",2
The water contained in a geyser system gains energy from the underground material surrounding it. The water molecules gain kinetic energy and this results in an increase in the pressure of the water. Eventually the geyser erupts and expels water into the air above ground. Which of the following types of energy is the source for the initial energy gain of the water?,"{'text': ['electrical', 'magnetic', 'mechanical', 'thermal'], 'label': ['A', 'B', 'C', 'D']}",D
"In a laboratory activity, four different types of rock were placed in identical acid solutions for one week. Each sample was then measured to see if any of the rock mass was dissolved by the acid solution. Which is the dependent (responding) variable in this activity?","{'text': ['the mass of each rock', 'the type of rock tested', 'the length of time of the test', 'the amount of dissolved rock'], 'label': ['A', 'B', 'C', 'D']}",D
Which cell structure carries out a function for a cell that is similar to the function that bark carries out for a tree?,"{'text': ['cell wall', 'nucleus', 'chloroplast', 'mitochondrion'], 'label': ['A', 'B', 'C', 'D']}",A
The number of squirrels in a certain ecosystem changes over time. These changes can be represented as a number of connected data points. Which method would a student most likely use to show this information?,"{'text': ['pie chart', 'line graph', 'pictogram', 'data table'], 'label': ['A', 'B', 'C', 'D']}",B
"Pedro shook a can of soda. When the soda was opened, foam and soda burst from the can. Which statement best explains what happened?","{'text': ['A new substance was formed.', 'The gas pressure was released from the can.', 'The sugar in the soda turned into a gas.', 'The can absorbed heat from the air.'], 'label': ['A', 'B', 'C', 'D']}",B
Where is most of Earth's water located?,"{'text': ['glaciers', 'lakes', 'oceans', 'rivers'], 'label': ['A', 'B', 'C', 'D']}",C
Investigations were performed to test several methods of keeping petals from falling off flowers that had been cut. Which is the most likely reason for this investigation?,"{'text': ['to test a hypothesis', 'to form a theory', 'to produce a scientific paper', 'to change previous results'], 'label': ['A', 'B', 'C', 'D']}",A
"Two seismographs are placed 500 km from an active fault line, one on each side of the active fault line. During an earthquake, what most likely accounts for the different readings on the seismographs?","{'text': ['the pull of gravity on the waves', 'the interaction of light with waves', ""the differences in the strength of the waves' origins"", 'the different media through which the waves travel'], 'label': ['A', 'B', 'C', 'D']}",D
Scientists dig in a dry area at the bottom of a mountain range. Fossilized shells of freshwater mussels are found in the area. Which is a likely conclusion that scientists will draw based on this evidence?,"{'text': ['Rivers once flowed through the area.', 'Volcanoes were once active in the area.', 'The ocean shoreline once reached this area.', 'Floods were a common occurrence in this area.'], 'label': ['A', 'B', 'C', 'D']}",A
An apple appears red when struck by white light. This appearance is because the red light is reflected and the other colors are absorbed. What color will this apple appear to be when struck by blue light?,"{'text': ['black', 'blue', 'red', 'white'], 'label': ['A', 'B', 'C', 'D']}",A
"In New York State, an observer will usually see the Sun rise in the","{'text': ['north', 'south', 'east', 'west'], 'label': ['1', '2', '3', '4']}",3
Burning coal and natural gas are ways to produce electricity. Both coal and natural gas are nonrenewable resources. Which is an example of producing electricity using a renewable source of energy?,"{'text': ['using food pieces to make compost', 'gliding a boat through the water using sails', 'putting an energy-saving lightbulb in a lamp', 'heating a home with energy collected by solar panels'], 'label': ['A', 'B', 'C', 'D']}",D
"When liquid water freezes, it forms ice. What is the physical state of an ice cube?","{'text': ['gas', 'solid', 'liquid', 'plasma'], 'label': ['A', 'B', 'C', 'D']}",B
